Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,706.7284407769173,,
Africa Eastern and Southern,AFE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,2.531874619984474,,
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,2000,406156661.0,,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,519.6425995107313,,
Africa Western and Central,AFW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.5308927426872219,,
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,2000,274612131.0,,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2664.125447029469,,
Arab World,ARB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,3.1423557158531463,,
Arab World,ARB,"Population, total",SP.POP.TOTL,2000,286548096.0,,
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,6477.2648212339545,,
Caribbean small states,CSS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,7.2502437701436575,,
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,2000,3956229.0,,
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,3880.426959155782,,
Central Europe and the Baltics,CEB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,20.673805096458462,,
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,2000,108447824.0,,
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1346.1987259664174,,
Early-demographic dividend,EAR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,3.244301644379909,,
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2000,2509431470.0,,
East Asia & Pacific,EAS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.3257580942299961,,
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4139.471267198873,,
East Asia & Pacific,EAS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,11.46478361987872,,
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2000,2050149617.0,,
East Asia & Pacific (excluding high income),EAP,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.0018035796860524,,
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,961.3014223567112,,
East Asia & Pacific (excluding high income),EAP,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,5.762100385125358,,
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2000,1819011507.0,,
East Asia & Pacific (IDA & IBRD countries),TEA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.0018035796860524,,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,972.8331739033168,,
East Asia & Pacific (IDA & IBRD countries),TEA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,5.837177362348566,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2000,1795374943.0,,
Euro area,EMU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.4510722686838415,,
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,19563.090879164523,,
Euro area,EMU,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,58.99006609598942,,
Euro area,EMU,"Population, total",SP.POP.TOTL,2000,333959803.0,,
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,11645.637807174651,,
Europe & Central Asia,ECS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,34.142687016734854,,
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,2000,865392479.0,,
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1790.7976600948346,,
Europe & Central Asia (excluding high income),ECA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,8.770540065448445,,
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,2000,218486598.0,,
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2044.3624955792093,,
Europe & Central Asia (IDA & IBRD countries),TEC,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,7.609292471667589,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,2000,438423541.0,,
European Union,EUU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.5020267826650898,,
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,16956.04049460537,,
European Union,EUU,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,51.08213297985079,,
European Union,EUU,"Population, total",SP.POP.TOTL,2000,429339162.0,,
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,377.7386355315481,,
Heavily indebted poor countries (HIPC),HPC,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.604080719435819,,
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,2000,481628012.0,,
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,22428.17260723088,,
High income,HIC,"Population, total",SP.POP.TOTL,2000,1255696330.0,,
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1477.6926735336135,,
IBRD only,IBD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,5.474673525664959,,
IBRD only,IBD,"Population, total",SP.POP.TOTL,2000,3983328255.0,,
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1251.8964484564567,,
IDA & IBRD total,IBT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,4.365143635198442,,
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,2000,5116367192.0,,
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,619.821306061985,,
IDA blend,IDB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.2961054650937045,,
IDA blend,IDB,"Population, total",SP.POP.TOTL,2000,394129957.0,,
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,373.0512519619265,,
IDA only,IDX,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.4214333186023411,,
IDA only,IDX,"Population, total",SP.POP.TOTL,2000,738908980.0,,
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,458.4501378157739,,
IDA total,IDA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.3793439051586725,,
IDA total,IDA,"Population, total",SP.POP.TOTL,2000,1133038937.0,,
Late-demographic dividend,LTE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.0095853415065192,,
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1673.0008069405314,,
Late-demographic dividend,LTE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,7.390866346256128,,
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2000,2043581322.0,,
Latin America & Caribbean,LCN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.0354192642601538,,
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4472.584110724639,,
Latin America & Caribbean,LCN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,12.233760923026368,,
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,2000,520272118.0,,
Latin America & Caribbean (excluding high income),LAC,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.0359726903915317,,
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4315.316863783922,,
Latin America & Caribbean (excluding high income),LAC,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,11.196512824459138,,
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,2000,487480396.0,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2000,0.0354192642601537,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4388.926196540461,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,12.328427714275431,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,2000,504556065.0,,
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,333.5410412895961,,
Least developed countries: UN classification,LDC,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.2678396675660919,,
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,2000,673273787.0,,
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1181.5870085679342,,
Low & middle income,LMY,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,4.0732495217448905,,
Low & middle income,LMY,"Population, total",SP.POP.TOTL,2000,4905832166.0,,
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,317.46177786899466,,
Low income,LIC,"Population, total",SP.POP.TOTL,2000,384939694.0,,
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,591.6158736036003,,
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2000,1974298738.0,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2220.177608103176,,
